Full list of first forenames given to boys, Scotland, 2021 (final) in rank order,,,,,,,,,
,,,,,,,,,
NB: * indicates that, sadly, a baby who was given that first forename has since died.,,,,,,,,,
,,,,,,,,,
Rank1,Boys' names,Number of babies,NB,,,,,,
,,,,,,,,,
533=, KOLBY, 5, , , , , , ,
533=, KOLTON, 5, , , , , , ,
533=, LENNIE, 5, , , , , , ,
533=, LIO, 5, , , , , , ,
533=, LOCKIE, 5, , , , , , ,
533=, LOKI, 5, , , , , , ,
533=, MALIK, 5, , , , , , ,
533=, MARIO, 5, , , , , , ,
533=, MATEI, 5, , , , , , ,
533=, MAVERICK, 5, , , , , , ,
533=, MAXIMUS, 5, , , , , , ,
533=, MICHAL, 5, , , , , , ,
533=, OBAN, 5, , , , , , ,
533=, OLIWIER, 5, , , , , , ,
533=, OREN, 5, , , , , , ,
533=, ORSON, 5, , , , , , ,
533=, OSSIAN, 5, , , , , , ,
533=, PRESTON, 5, , , , , , ,
533=, RAFAEL, 5, , , , , , ,
533=, RAFE, 5, , , , , , ,
533=, RAFFERTY, 5, , , , , , ,
533=, RAPHAEL, 5, , , , , , ,
533=, REAGAN, 5, , , , , , ,
533=, REGAN, 5, , , , , , ,
533=, RENZ, 5, , , , , , ,
533=, RIAAN, 5, , , , , , ,
533=, RYDER, 5, , , , , , ,
533=, SANTINO, 5, , , , , , ,
533=, SLOAN, 5, , , , , , ,
533=, SOLOMON, 5, , , , , , ,
533=, STEWART, 5, , , , , , ,
533=, TEO, 5, , , , , , ,
533=, TIMOTHY, 5, , , , , , ,
533=, UMAR, 5, , , , , , ,
533=, VALENTINO, 5, , , , , , ,
533=, VINNY, 5, , , , , , ,
533=, ZAKARIYA, 5, , , , , , ,
533=, ZANE, 5, , , , , , ,
533=, ZAYAN, 5, , , , , , ,
605=, AADAM, 4, , , , , , ,
605=, AAYAN, 4, , , , , , ,
605=, ADRIEL, 4, , , , , , ,
605=, ALEXANDROS, 4, , , , , , ,
605=, ALVIE, 4, , , , , , ,
605=, ANDREW - JAMES, 4, , , , , , ,
605=, ANTONY, 4, , , , , , ,
605=, ARHAM, 4, , , , , , ,
605=, ARTUR, 4, , , , , , ,
605=, ARYAN, 4, , , , , , ,
605=, ASA, 4, , , , , , ,
605=, ASTON, 4, , , , , , ,
605=, AUBREY, 4, , , , , , ,
605=, AUGUST, 4, , , , , , ,
605=, AVYAAN, 4, , , , , , ,
605=, AYAN, 4, , , , , , ,
605=, AYOUB, 4, , , , , , ,
605=, BOYD, 4, , , , , , ,
605=, BRAE, 4, , , , , , ,
605=, BRAXTON, 4, , , , , , ,
605=, BUDDY, 4, , , , , , ,
605=, CAIN, 4, , , , , , ,
605=, CHASE, 4, , , , , , ,
605=, CHE, 4, , , , , , ,
605=, COBY, 4, , , , , , ,
605=, CODI, 4, , , , , , ,
605=, COLBIE, 4, , , , , , ,
605=, COLL, 4, , , , , , ,
605=, CREE, 4, , , , , , ,
605=, DARIUS, 4, , , , , , ,
605=, DAX, 4, , , , , , ,
605=, DEVLIN, 4, , , , , , ,
605=, DILLON, 4, , , , , , ,
605=, DOUGIE, 4, , , , , , ,
605=, EASTON, 4, , , , , , ,
605=, EDOARDO, 4, , , , , , ,
605=, EMIL, 4, , , , , , ,
605=, EMIR, 4, , , , , , ,
605=, EMMETT, 4, , , , , , ,
605=, EWEN, 4, , , , , , ,
605=, FINNLEY, 4, , , , , , ,
605=, FOX, 4, , , , , , ,
605=, FRED, 4, , , , , , ,
605=, GABRIELIUS, 4, , , , , , ,
605=, GEORGIE, 4, , , , , , ,
605=, GEORGIOS, 4, , , , , , ,
605=, GREGORY, 4, , , , , , ,
605=, GUS, 4, , , , , , ,
605=, GUY, 4, , , , , , ,
605=, HASHIM, 4, , , , , , ,
605=, IGOR, 4, , , , , , ,
605=, ISRAEL, 4, , , , , , ,
605=, JAKOB, 4, , , , , , ,
605=, JARED, 4, , , , , , ,
605=, JAYSON, 4, , , , , , ,
605=, JEREMY, 4, , , , , , ,
605=, JOHNATHAN, 4, *, , , , , ,
605=, JONAS, 4, , , , , , ,
605=, JULIEN, 4, , , , , , ,
605=, KAISON, 4, , , , , , ,
605=, KALVIN, 4, , , , , , ,
605=, KAYSEN, 4, , , , , , ,
605=, KEENAN, 4, , , , , , ,
605=, KHALID, 4, , , , , , ,
605=, KILIAN, 4, , , , , , ,
605=, KLAYTON, 4, , , , , , ,
605=, KRISTIAN, 4, , , , , , ,
605=, KYLAN, 4, , , , , , ,
605=, KYRAN, 4, , , , , , ,
